Unnamed: 0,Date,Primogem Used,Total Users,Average Used,Primogem Supplied
727,2024-09-25,504070.406695776,309336,1.629523905060439,0.0
728,2024-09-26,482076.5975338163,309336,1.5584238418218905,0.0
729,2024-09-27,854671.5685385515,309336,2.7629230627490866,300.0
730,2024-09-28,1080802.5666180106,309336,3.493943694293618,460.0
731,2024-09-29,1018204.6807409964,309336,3.2915815835887074,460.0
732,2024-09-30,1034663.3628607618,309336,3.3447880714199507,460.0
733,2024-10-01,1800736.6183246672,309336,5.821296642888856,460.0
734,2024-10-02,738194.1345337987,309336,2.386382879890471,60.0
735,2024-10-03,604953.5785349165,309336,1.9556520370565227,140.0
736,2024-10-04,541749.9677265249,309336,1.751331780738501,0.0
737,2024-10-05,556770.0531342694,309336,1.799887672738606,0.0
738,2024-10-06,520134.736646676,309336,1.6814555585081465,0.0
739,2024-10-07,568804.1039193652,309336,1.838790518786579,0.0
740,2024-10-08,236978.837540608,309336,0.7660887757668295,2100.0
741,2024-10-09,67431.06605862833,309336,0.2179864809095234,0.0
742,2024-10-10,2564909.6904727863,290609,8.82598161265751,120.0
743,2024-10-11,1727036.768242327,290609,5.942819280346882,80.0
744,2024-10-12,1448899.0717071637,290609,4.985733654866723,80.0
745,2024-10-13,1241147.0714152565,290609,4.270848705357564,80.0
746,2024-10-14,977490.3072528226,290609,3.3635926872630324,80.0
747,2024-10-15,870697.5368179721,290609,2.9961134611039992,0.0
748,2024-10-16,1187193.390373113,290609,4.085191409671115,0.0
749,2024-10-17,923985.5285449316,290609,3.179480086800242,180.0
750,2024-10-18,816294.9534415767,290609,2.8089114701938915,140.0
751,2024-10-19,856326.09281945,290609,2.9466606086509706,90.0
752,2024-10-20,763935.4231278998,290609,2.628739726326094,30.0
753,2024-10-21,577546.7944114283,290609,1.9873671992657773,0.0
754,2024-10-22,509977.1391527971,290609,1.7548566601612376,0.0
755,2024-10-23,520021.6026026251,290609,1.7894201576779283,210.0
756,2024-10-24,555410.4349140857,290609,1.911194886992783,170.0
757,2024-10-25,582504.4279955595,290609,2.0044266626138887,210.0
758,2024-10-26,643754.4142949136,290609,2.2151909070087767,170.0
759,2024-10-27,660867.4471836004,290609,2.2740777029741004,240.0
